1 mil Accounts
# Threads, Time (ns), inHTMs, inSTMs
1, 290691074, 99961, 39
4, 182911030, 89961, 10039
8, 292199979, 75605, 24395
16, 526904637, 41332, 58668
24, 307321742, 48891, 51093
32, 467584037, 37348, 62652
48, 423397281, 50794, 49190
56, 933642001, 14208, 85752
64, 700158739, 43184, 56784

1 mil Accounts with Disjoint Access
# Threads, Time (ns), inHTMs, inSTMs
1, 284929162, 99966, 34
4, 195370400, 96616, 3384
8, 301071378, 73833, 26167
16, 266547098, 61420, 38580
24, 527987402, 39592, 60392
32, 413264870, 60915, 39085
48, 422474912, 55646, 44338
56, 888557769, 28859, 71101
64, 453697549, 60389, 39579

1 k Accounts
# Threads, Time (ns), inHTMs, inSTMs
1, 60710241, 99983, 17
4, 181727338, 97228, 2772
8, 228557704, 94400, 5600
16, 194179839, 93569, 6431
24, 203278018, 93937, 6047
32, 230067717, 94201, 5799
48, 455503257, 81784, 18200
56, 565523801, 72335, 27625
64, 515096457, 80891, 19077

1 k Accounts with Disjoint Access
# Threads, Time (ns), inHTMs, inSTMs
1, 59877984, 99996, 4
4, 103442581, 95495, 4505
8, 97169991, 86724, 13276
16, 106695669, 79755, 20245
24, 250161909, 59249, 40735
32, 273085834, 54615, 45385
48, 621821440, 38011, 61973
56, 887674458, 18291, 81669
64, 1054728670, 15490, 84478
